Test Year: 2019
Total: 1199, Correct: 623, ExpRate: 51.96%
----------------------------------------
Image	Status	Prediction	GroundTruth
UN19_1026_em_361	CORRECT	\alpha ( 1 - \cos t )	\alpha ( 1 - \cos t )
UN19_1047_em_676	WRONG	\sqrt { g _ { x } g _ { t _ { t } }	\sqrt { g _ { x x } g _ { t t } }
UN19_1023_em_316	WRONG	\sum _ { a } ^ { 2 } x _ { a } ^ { 2 }	\sum _ { a } x _ { a } ^ { 2 }
UN19wb_1113_em_1075	WRONG	- \frac { \sin \alpha ( \theta ) } { 2 \pi }	- \frac { \sin \alpha ( \infty ) } { 2 \pi }
UN19_1041_em_586	WRONG	\frac { x _ { n } ^ { i } } { y _ { n } ^ { b } }	\frac { x ^ { i } _ { n } } { y ^ { b } _ { n } }
UN19wb_1104_em_930	CORRECT	( 0 + 0 + 0 + 0 + ( 0 + 2 ) )	( 0 + 0 + 0 + 0 + ( 0 + 2 ) )
UN19_1020_em_273	CORRECT	3 \times 3 + r - 3	3 \times 3 + r - 3
UN19_1039_em_567	CORRECT	x = \cos L t	x = \cos L t
UN19wb_1118_em_1151	WRONG	\cos ( m x ) \cos ( Y , R )	\cos ( m X ) \cos ( Y / R )
ISICal19_1207_em_841	CORRECT	\frac { - 3 } { \sqrt { 6 0 } }	\frac { - 3 } { \sqrt { 6 0 } }
UN19_1024_em_340	CORRECT	\frac { n } { 2 } + \frac { m } { 2 } b ^ { - 2 }	\frac { n } { 2 } + \frac { m } { 2 } b ^ { - 2 }
UN19_1031_em_443	WRONG	c = \frac { 1 } { 2 } \sqrt { \frac { 5 } { 3 } }	C = \frac { 1 } { 2 } \sqrt { \frac { 5 } { 3 } }
UN19wb_1113_em_1071	WRONG	\frac { \sqrt { 1 - \beta ^ { 2 } } { 2 \beta }	\frac { \sqrt { 1 - \beta ^ { 2 } } } { 2 \beta }
UN19_1046_em_673	WRONG	\sum _ { i } ^ { i } ( x _ { 1 } - x _ { 2 } ) ^ { i } = 0	\sum _ { i } b ^ { i } ( x _ { 1 } - x _ { 2 } ) ^ { i } = 0
ISICal19_1209_em_855	CORRECT	2 a _ { 1 } + 2 a _ { 2 } + 2 a _ { 3 } + 2 a _ { 4 } + 2 a _ { 5 } + 2 a _ { 6 }	2 a _ { 1 } + 2 a _ { 2 } + 2 a _ { 3 } + 2 a _ { 4 } + 2 a _ { 5 } + 2 a _ { 6 }
UN19_1003_em_34	WRONG	y _ { 1 } ( x ) \log _ { 0 } x	y _ { 1 } ( x ) \log x
UN19wb_1114_em_1087	CORRECT	1 - \sum \alpha _ { i }	1 - \sum \alpha _ { i }
UN19_1002_em_25	CORRECT	\lim _ { k \rightarrow 0 } R _ { k } = 0	\lim _ { k \rightarrow 0 } R _ { k } = 0
UN19wb_1114_em_1094	WRONG	x < \frac { 1 } { \sqrt { a } }	x < \frac { 1 } { \sqrt [ 3 ] { a } }
UN19wb_1121_em_1191	CORRECT	( x , y ) = M ( \cos ( \alpha ) , \sin ( \alpha ) )	( x , y ) = M ( \cos ( \alpha ) , \sin ( \alpha ) )
UN19_1031_em_436	CORRECT	x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 }	x ^ { 2 } + y ^ { 2 } z + z ^ { k - 1 }
ISICal19_1211_em_892	WRONG	\beta ^ { ( 3 ) } = - \frac { 1 7 } { 3 } \frac { 1 } { 4 - 4 }	\beta ^ { ( 3 ) } = - \frac { 1 7 } { 3 } \frac { 1 } { ( 4 \pi ) ^ { 4 } }
UN19_1040_em_577	WRONG	[ n ] = \frac { q ^ { n } - q ^ { n - n } } { q - 1 }	[ n ] = \frac { q ^ { n } - q ^ { - n } } { q - q ^ { - 1 } }
UN19_1011_em_152	CORRECT	2 \sin ^ { 2 } x = ( 1 - \cos 2 x )	2 \sin ^ { 2 } x = ( 1 - \cos 2 x )
UN19_1030_em_424	CORRECT	d = \frac { \sqrt { 7 } } { 4 }	d = \frac { \sqrt { 7 } } { 4 }
UN19_1030_em_425	WRONG	\int _ { - n } ^ { n } d ^ { 4 } x	\int \limits _ { - n } ^ { n } d ^ { 4 } x
ISICal19_1207_em_842	CORRECT	G _ { 0 } = \lim _ { m \rightarrow 0 } G	G _ { 0 } = \lim _ { m \rightarrow 0 } G
UN19wb_1102_em_914	CORRECT	- a \leq x \leq a	- a \leq x \leq a
UN19_1013_em_182	WRONG	[ \sin y _ { 0 }	l \sin y _ { 0 }
UN19_1042_em_611	CORRECT	9 \times 9	9 \times 9
ISICal19_1210_em_880	CORRECT	( f + g ) ( x ) = f ( x ) + g ( x )	( f + g ) ( x ) = f ( x ) + g ( x )
UN19wb_1108_em_1002	WRONG	( 2 . 4 . 9 ) - ( 2 \cdot 4 . 1 0 )	( 2 . 4 . 9 ) - ( 2 . 4 . 1 0 )
ISICal19_1205_em_824	WRONG	[ b _ { 1 } \times [ b _ { 2 } \times [ b _ { 2 } b _ { 3 }	[ b _ { 1 } ] \times [ b _ { 2 } ] \times [ b _ { 3 } ]
ISICal19_1206_em_832	CORRECT	\sin ( 2 \frac { d } { d k } )	\sin ( 2 \frac { d } { d k } )
UN19_1037_em_534	WRONG	t \neq x	t > x
UN19wb_1120_em_1179	CORRECT	a = 3 ( 4 + \sqrt { 1 0 } ) / ( 5 + 1 4 \sqrt { 1 0 } )	a = 3 ( 4 + \sqrt { 1 0 } ) / ( 5 + 1 4 \sqrt { 1 0 } )
UN19wb_1105_em_959	WRONG	( \cos \alpha z ^ { 2 } + \sin z ^ { 2 } ) ^ { v } = c ^ { v }	( \cos \alpha z ^ { 1 } + \sin \alpha z ^ { 2 } ) ^ { N } = c ^ { N }
UN19wb_1106_em_970	CORRECT	x ^ { 2 } + y ^ { 2 } = a ^ { 2 } + t ^ { 2 }	x ^ { 2 } + y ^ { 2 } = a ^ { 2 } + t ^ { 2 }
UN19_1035_em_504	WRONG	E _ { m } [ \frac { n } { 2 } ]	\tan [ \frac { n } { 2 } \sigma ]
UN19wb_1112_em_1059	CORRECT	\sqrt { 1 + \beta ^ { 2 } }	\sqrt { 1 + \beta ^ { 2 } }
UN19_1023_em_324	CORRECT	\beta = \sqrt { 2 a b }	\beta = \sqrt { 2 a b }
UN19wb_1121_em_1189	WRONG	- 4 ( \gamma + ( 0 9 4 ) + ( \cos 4 ) + \frac { 9 x ^ { 2 } } { 1 + \frac { \sqrt { 1 + 3 x } } { 1 + 3 x }	- 4 ( \gamma + \log 4 ) + b + \frac { 4 B { \pi } ^ { 2 } { \sqrt { 1 - x } } } { { \sqrt { 1 + 3 x } } }
UN19_1037_em_531	WRONG	h = ( a _ { n } \phi	h = \tan \phi
UN19_1039_em_569	CORRECT	x = \tan ^ { 2 } \phi	x = \tan ^ { 2 } \phi
UN19_1004_em_53	CORRECT	C \geq 0	C \geq 0
ISICal19_1204_em_803	CORRECT	x ^ { 4 } - x ^ { 7 }	x ^ { 4 } - x ^ { 7 }
UN19_1029_em_419	WRONG	c _ { i - 1 } - c _ { i } - c _ { m }	C _ { i - 1 } - C _ { i } - C _ { n }
UN19_1017_em_234	CORRECT	\sqrt { \frac { 2 } { \beta } }	\sqrt { \frac { 2 } { \beta } }
UN19wb_1113_em_1070	WRONG	\theta = \sum _ { y } n _ { y } ( y )	B = \sum _ { y } n _ { y } ( y )
UN19wb_1116_em_1115	WRONG	z ( s ) = \sin \theta _ { 1 } + \sin \theta _ { 1 } + \sin \theta _ { 1 } + \cos \theta _ { 2 } + \cos \theta _ { 3 }	z ( s ) = \sin \theta \cos \phi r _ { 1 } + \sin \theta \sin \phi r _ { 2 } + \cos \theta r _ { 3 }
UN19_1030_em_421	CORRECT	\frac { 5 } { 1 2 } - \frac { 1 1 5 } { 8 } u ^ { - 2 }	\frac { 5 } { 1 2 } - \frac { 1 1 5 } { 8 } u ^ { - 2 }
UN19wb_1120_em_1172	CORRECT	y ^ { 2 } = 4 x ^ { 3 } + A x + B	y ^ { 2 } = 4 x ^ { 3 } + A x + B
UN19_1031_em_449	CORRECT	\frac { y _ { 2 } - y _ { 1 } } { x _ { 2 } - x _ { 1 } }	\frac { y _ { 2 } - y _ { 1 } } { x _ { 2 } - x _ { 1 } }
UN19wb_1106_em_961	WRONG	\sqrt { F _ { a b } F ^ { a b }	\sqrt { F _ { a b } F ^ { a b } }
UN19_1030_em_428	CORRECT	x ^ { 2 } - y ^ { 2 } - x ^ { 3 } = 0	x ^ { 2 } - y ^ { 2 } - x ^ { 3 } = 0
ISICal19_1203_em_784	WRONG	f \rightarrow \cos ^ { 2 } t - \cos ^ { 2 } \theta	f \rightarrow \cos ^ { 2 } { t } - \cos ^ { 2 } { \theta }
UN19_1009_em_128	WRONG	\sin ( h _ { n } )	\sin ( k r )
UN19_1019_em_265	CORRECT	\exists f ( z )	\exists f ( z )
UN19_1032_em_459	WRONG	\cos \theta = - 1	\cos \alpha = - 1
UN19_1039_em_565	CORRECT	b \rightarrow - \frac { 2 } { b }	b \rightarrow - \frac { 2 } { b }
UN19_1003_em_39	CORRECT	R = \frac { 1 } { 2 } \sqrt { a _ { 3 } + a _ { 1 } }	R = \frac { 1 } { 2 } \sqrt { a _ { 3 } + a _ { 1 } }
UN19wb_1110_em_1033	CORRECT	8 1 c ^ { 3 } + 2 7 c ^ { 2 } - 5 7 c - 1 1	8 1 c ^ { 3 } + 2 7 c ^ { 2 } - 5 7 c - 1 1
UN19wb_1109_em_1007	WRONG	\sum _ { a } p _ { a } = \sum _ { a } x _ { a } = 0	\sum _ { a } p _ { a } = \sum _ { a } X _ { a } = 0
UN19_1044_em_644	CORRECT	2 ^ { 2 2 }	2 ^ { 2 2 }
UN19_1018_em_240	WRONG	a = 1 . 7	a = 1 . . . 7
UN19_1012_em_166	CORRECT	a \sqrt { 2 }	a \sqrt { 2 }
UN19_1025_em_345	CORRECT	- 1 \leq x \leq 1	- 1 \leq x \leq 1
UN19_1001_em_12	CORRECT	\beta = x _ { 3 } y _ { 3 } - x _ { 1 } y _ { 1 }	\beta = x _ { 3 } y _ { 3 } - x _ { 1 } y _ { 1 }
UN19_1006_em_85	WRONG	\lim _ { 1 \rightarrow \infty } v ( n )	\lim _ { r \rightarrow \infty } V ( r )
UN19_1003_em_40	CORRECT	- \frac { 1 } { 2 } x ^ { 2 } \log ( x )	- \frac { 1 } { 2 } x ^ { 2 } \log ( x )
UN19_1018_em_252	CORRECT	\sin ^ { 2 } x = \frac { 1 } { 2 } ( 1 - \cos ( 2 x ) )	\sin ^ { 2 } x = \frac { 1 } { 2 } ( 1 - \cos ( 2 x ) )
UN19_1039_em_566	WRONG	e = \tan b | c	e = \tan b / c
UN19_1007_em_101	WRONG	x _ { 1 } + x _ { 2 3 } + x _ { 3 1 } = 0	x _ { 1 2 } + x _ { 2 3 } + x _ { 3 1 } = 0
UN19_1011_em_163	WRONG	\lim _ { z \rightarrow \infty } z _ { s } ( z ) < \infty	\lim _ { z \rightarrow \infty } z s ( z ) < \infty
UN19_1032_em_461	CORRECT	a = x + i y	a = x + i y
UN19_1041_em_588	WRONG	\cos ( m y )	\cos { ( m y ) }
UN19wb_1112_em_1054	CORRECT	r + 1 = \sum _ { k } n _ { k }	r + 1 = \sum _ { k } n _ { k }
UN19wb_1106_em_974	WRONG	- b _ { 2 1 } = - b _ { 1 } + \frac { 1 } { 2 b }	- b j _ { 2 1 } = - b j _ { 1 } + \frac { 1 } { 2 b }
UN19_1028_em_394	CORRECT	\tan \alpha \tan \theta ^ { \prime } = - 1	\tan \alpha \tan \theta ^ { \prime } = - 1
UN19wb_1103_em_926	WRONG	\frac { 1 } { 2 } \int _ { \infty } ^ { \infty } d _ { 2 }	\frac { 1 } { 2 } \int _ { - \infty } ^ { \infty } d z
UN19wb_1111_em_1035	WRONG	0 < \frac { k \sqrt { 2 } } { \sqrt { 1 + k ^ { 2 } } < 1	0 < \frac { k \sqrt { 2 } } { \sqrt { 1 + k ^ { 2 } } } < 1
UN19_1049_em_717	WRONG	2 . 7 1	2 . 7 1 \ldots
UN19_1021_em_295	CORRECT	\int F ( x ) d x	\int F ( x ) d x
UN19_1021_em_292	CORRECT	( 1 - \cos z )	( 1 - \cos z )
UN19_1020_em_277	WRONG	\gamma = \sqrt { x ^ { m } X ^ { m } }	r = \sqrt { x ^ { m } x ^ { m } }
UN19_1042_em_612	CORRECT	\cos ( n X )	\cos ( n X )
UN19_1032_em_452	WRONG	\cos ( y )	\cos ( Y )
ISICal19_1204_em_795	CORRECT	H = p ^ { 2 } + i \sin x	H = p ^ { 2 } + i \sin x
UN19_1031_em_439	CORRECT	a = b ^ { - 1 } c - b ^ { - 1 } a b	a = b ^ { - 1 } c - b ^ { - 1 } a b
UN19_1007_em_98	WRONG	\sqrt { g + g _ { t } g _ { x } }	\sqrt { g _ { t t } g _ { x x } }
UN19_1035_em_497	CORRECT	- \frac { 1 8 5 8 } { 9 }	- \frac { 1 8 5 8 } { 9 }
UN19_1010_em_135	CORRECT	b _ { i } = \sin ^ { 2 } x _ { i }	b _ { i } = \sin ^ { 2 } x _ { i }
UN19_1050_em_731	CORRECT	\frac { 1 } { 2 } n ( n + 3 ) + 3	\frac { 1 } { 2 } n ( n + 3 ) + 3
UN19wb_1118_em_1150	WRONG	( + \frac { 1 } { 2 } + \frac { 1 } { 2 } + \frac { 1 } { 2 } + \frac { 1 } { 2 } + \frac { 1 } { 2 } )	( + \frac { 1 } { 2 } , + \frac { 1 } { 2 } , + \frac { 1 } { 2 } , - \frac { 1 } { 2 } , + \frac { 1 } { 2 } )
UN19wb_1121_em_1187	WRONG	\int _ { 0 } ^ { \infty } d x ^ { n } e ^ { - x } = n !	\int _ { 0 } ^ { \infty } d x x ^ { n } e ^ { - x } = n !
UN19_1051_em_739	WRONG	C \leq \frac { 1 } { 4 a }	c \leq \frac { 1 } { 4 a }
UN19wb_1105_em_957	WRONG	( a + b + c ) ^ { 2 } \geq a ^ { 2 } + b ^ { 2 } + \cdots + c ^ { 2 }	( a + b + \ldots + c ) ^ { 2 } \geq a ^ { 2 } + b ^ { 2 } + \ldots + c ^ { 2 }
ISICal19_1202_em_773	CORRECT	C = - m \cos a	C = - m \cos a
UN19_1010_em_137	CORRECT	\sin ( \pi \alpha ) = \sin ( \pi \beta ) = 0	\sin ( \pi \alpha ) = \sin ( \pi \beta ) = 0
UN19wb_1117_em_1136	WRONG	1 + 1 2 + 1 2 + 1 2 + 1 2 + 6 = 6 3	1 + 1 2 + 1 2 + 2 + 1 8 + 1 2 + 6 = 6 3
UN19wb_1107_em_985	WRONG	\int a b = \int b _ { a }	\int a b = \int b a
UN19wb_1112_em_1050	WRONG	2 ^ { \frac { n - 2 } } { 2 ^ { n } } ( \frac { ( 1 - n ) } { ( 3 n - 4 } ) ^ { \frac { n - 2 } { 2 n } }	2 ^ { \frac { n - 2 } { n } } [ \frac { B ( 1 - n ) } { C ( 3 n - 4 ) } ] ^ { \frac { n - 2 } { 2 n } }
UN19_1017_em_238	WRONG	n ^ { n } \sqrt { 2 }	n \sqrt [ n ] 2
UN19_1023_em_321	CORRECT	\beta = \sin \alpha	\beta = \sin \alpha
UN19wb_1106_em_964	CORRECT	| x | = | y | = \sqrt { | z | }	| x | = | y | = \sqrt { | z | }
UN19wb_1107_em_981	WRONG	1 2 ^ { - 1 } 4 5 3 ^ { - 1 } 2 3 ^ { - 1 } 6 ^ { - 1 } 4 ^ { - 1 }	1 2 ^ { - 1 } 4 5 3 1 ^ { - 1 } 2 3 ^ { - 1 } 6 ^ { - 1 } 4 ^ { - 1 }
UN19_1032_em_456	CORRECT	1 - \cos x	1 - \cos x
UN19wb_1107_em_980	CORRECT	\frac { 1 } { e ^ { x } - 1 } = \sum _ { n = 1 } ^ { \infty } e ^ { - n x }	\frac { 1 } { e ^ { x } - 1 } = \sum _ { n = 1 } ^ { \infty } e ^ { - n x }
UN19_1010_em_149	CORRECT	\frac { 1 } { 2 } 4 \times 5 - 1 = 9	\frac { 1 } { 2 } 4 \times 5 - 1 = 9
UN19wb_1118_em_1144	CORRECT	x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 )	x _ { j } ^ { 2 } + x _ { j } = x _ { j } ( x _ { j } + 1 )
UN19wb_1113_em_1068	WRONG	f - 1 f = f f - 1 = 1	f ^ { - 1 } f = f f ^ { - 1 } = 1
UN19_1022_em_313	WRONG	\frac { 2 6 9 9 } { 8 1 9 ^ { 2 } } \frac { a } { R ^ { 3 } }	\frac { 2 6 9 \sqrt { \pi } } { 8 1 9 2 } \frac { \alpha } { R ^ { 3 } }
UN19_1020_em_270	WRONG	\lim _ { 2 \rightarrow + \infty } h ( z ) = 0	\lim _ { z \rightarrow + \infty } h ( z ) = 0
UN19wb_1103_em_915	CORRECT	( \frac { B } { A + 1 } ) ^ { \frac { 1 } { n + 1 } }	( \frac { B } { A + 1 } ) ^ { \frac { 1 } { n + 1 } }
UN19_1039_em_560	CORRECT	x = x _ { 0 } = 2 + \sqrt { 3 }	x = x _ { 0 } = 2 + \sqrt { 3 }
UN19_1008_em_119	WRONG	v _ { n } ( 0 ) = \frac { n + 1 } { \sqrt { n } } \frac { ( n ) ^ { n + n } { n - n } }	v _ { 2 n - 1 } ( 0 ) = \frac { 1 } { \sqrt { \pi } } \frac { ( - 1 ) ^ { n + 1 } } { \sqrt { 2 n - 1 } }
UN19wb_1117_em_1132	CORRECT	\tan ( \theta / 2 ) \sin ^ { 2 } ( \theta / 2 )	\tan ( \theta / 2 ) \sin ^ { 2 } ( \theta / 2 )
UN19wb_1119_em_1160	WRONG	\sum _ { i } p _ { i } = \sum _ { i } ^ { 2 } p _ { i } ^ { 2 } = 1	\sum _ { i } p _ { i } = \sum _ { i } p _ { i } ^ { 2 } = 1
UN19wb_1108_em_1001	CORRECT	[ x , y , z ] = ( x y ) z - x ( y z )	[ x , y , z ] = ( x y ) z - x ( y z )
UN19_1011_em_155	CORRECT	\int d ^ { 4 } x ( 1 + a ^ { 4 } )	\int d ^ { 4 } x ( 1 + a ^ { 4 } )
UN19_1007_em_103	WRONG	t ^ { 1 } = \frac { t - \frac { v ^ { 2 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }	t ^ { \prime } = \frac { t - \frac { v x } { c ^ { 2 } } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
UN19_1031_em_448	WRONG	B \times f	B \times F
UN19_1032_em_454	WRONG	\lim _ { l \rightarrow \infty } x ( f )	\lim _ { l \rightarrow \infty } x ( l )
UN19_1027_em_387	CORRECT	\int _ { 0 } ^ { \infty } \frac { d x } { x }	\int _ { 0 } ^ { \infty } \frac { d x } { x }
UN19wb_1116_em_1111	CORRECT	x \rightarrow x + \frac { 1 } { 3 } ( 2 a + b )	x \rightarrow x + \frac { 1 } { 3 } ( 2 a + b )
UN19_1035_em_509	CORRECT	\int d z \int d w	\int d z \int d w
ISICal19_1204_em_804	CORRECT	a x + b y = 0	a x + b y = 0
UN19wb_1104_em_944	WRONG	e ^ { - u } + e ^ { - v } + e ^ { - t - v } + 1 = 0	e ^ { - u } + e ^ { - v } + e ^ { - t + u - v } + 1 = 0
UN19wb_1108_em_992	WRONG	y d x = a x _ { 3 } x _ { x } + b _ { 3 } y x + c _ { 3 } d x y + 3 x y y	y d x = a _ { 3 } d x x + b _ { 3 } d y x + c _ { 3 } d x y + d _ { 3 } d y y
ISICal19_1205_em_817	WRONG	c = \frac { 1 } { 3 2 } + \frac { \log ^ { 2 } } { 6 }	C = \frac { 1 } { 3 2 } + \frac { \log { 2 } } { 9 6 }
UN19wb_1108_em_997	WRONG	- a _ { p - 1 } + 2 a _ { p } - a _ { p } + 1 + X = 0	- a _ { p - 1 } + 2 a _ { p } - a _ { p + 1 } + X = 0
UN19_1032_em_462	CORRECT	B = \frac { 4 9 } { 9 }	B = \frac { 4 9 } { 9 }
UN19wb_1103_em_929	WRONG	g _ { n } ( x ) = a _ { n } x ^ { 2 } + b _ { n } x + c n	g _ { n } ( x ) = a _ { n } x ^ { 2 } + b _ { n } x + c _ { n }
UN19_1038_em_541	WRONG	C _ { 0 } x ^ { 3 } + c _ { 1 } x ^ { 2 } + c _ { 2 } x + C _ { 3 }	c _ { 0 } x ^ { 3 } + c _ { 1 } x ^ { 2 } + c _ { 2 } x + c _ { 3 }
UN19wb_1120_em_1174	CORRECT	[ \frac { m + 1 } { 2 } ] \times [ \frac { m + 1 } { 2 } ]	[ \frac { m + 1 } { 2 } ] \times [ \frac { m + 1 } { 2 } ]
UN19_1010_em_141	CORRECT	2 n + n ( n - 2 ) + 2 = n ^ { 2 } + 2	2 n + n ( n - 2 ) + 2 = n ^ { 2 } + 2
UN19_1044_em_642	WRONG	C \geq a	c \geq a
UN19wb_1117_em_1135	WRONG	f _ { n - 1 } ( x ) = 6 _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 }	f _ { n - 1 } ( x ) = b _ { n - 1 } x ^ { n - 1 } + \ldots + b _ { 0 }
UN19_1001_em_10	CORRECT	1 / ( \cos \alpha ) ^ { 2 } - ( \tan \alpha ) ^ { 2 } = 1	1 / ( \cos \alpha ) ^ { 2 } - ( \tan \alpha ) ^ { 2 } = 1
UN19_1030_em_422	CORRECT	( d + 1 + n ) \times ( d + 1 + n )	( d + 1 + n ) \times ( d + 1 + n )
UN19_1012_em_174	CORRECT	- \frac { 4 } { \sqrt { 7 } }	- \frac { 4 } { \sqrt { 7 } }
UN19_1003_em_43	CORRECT	x _ { n + 1 } + x _ { n } = x _ { 2 }	x _ { n + 1 } + x _ { n } = x _ { 2 }
UN19_1051_em_741	CORRECT	\sin ^ { 2 } \pi B	\sin ^ { 2 } \pi B
UN19wb_1115_em_1107	CORRECT	\frac { 3 } { 2 } ( 1 - \frac { 3 } { 3 2 } \alpha ) ^ { - 1 }	\frac { 3 } { 2 } ( 1 - \frac { 3 } { 3 2 } \alpha ) ^ { - 1 }
UN19_1015_em_198	WRONG	y = \frac { 1 } { 4 } y _ { 4 } - \frac { 1 } { 3 } y _ { ( 2 ) }	Y = \frac { 1 } { 4 } Y _ { ( 3 ) } - \frac { 1 } { 3 } Y _ { ( 2 ) }
UN19_1023_em_323	WRONG	\frac { - 1 } { 5 } ^ { - 1 } { 5 } ^ { 1 } - \frac { 3 } { 5 }	A ^ { - 1 } _ { \frac { 3 } { 5 } } A ^ { 1 } _ { - \frac { 3 } { 5 } }
UN19_1051_em_740	WRONG	V \neq w	v \neq w
UN19_1033_em_471	WRONG	a _ { 0 } z _ { 1 } z _ { 2 } z _ { 3 } z _ { 4 } z _ { s }	a _ { 0 } z _ { 1 } z _ { 2 } z _ { 3 } z _ { 4 } z _ { 5 }
UN19wb_1110_em_1027	WRONG	\lim _ { p \rightarrow \infty } u ( 1 p ) ) = \infty	\lim _ { p \rightarrow \infty } u ( | p | ) = \infty
UN19_1051_em_743	CORRECT	\frac { 1 } { \sqrt { 3 6 0 } }	\frac { 1 } { \sqrt { 3 6 0 } }
UN19wb_1112_em_1062	CORRECT	\frac { ( s ^ { 2 } + t ^ { 2 } + u ^ { 2 } ) ^ { 2 } } { s t u }	\frac { ( s ^ { 2 } + t ^ { 2 } + u ^ { 2 } ) ^ { 2 } } { s t u }
UN19_1009_em_126	CORRECT	\tan ( x ) < \alpha	\tan ( x ) < \alpha
UN19_1009_em_132	CORRECT	\int d ^ { 3 } x	\int d ^ { 3 } x
UN19_1021_em_287	WRONG	1 + 1 6 + ( 1 + 2 4 + 8 = 5 3	1 + 1 6 + 4 + 2 4 + 8 = 5 3
UN19wb_1106_em_965	CORRECT	( 1 6 \times 8 + 1 6 \times 8 ) = 2 5 6	( 1 6 \times 8 + 1 6 \times 8 ) = 2 5 6
UN19_1048_em_704	CORRECT	[ b _ { 1 } ] \times [ a _ { 2 } ] \times [ b _ { 3 } ]	[ b _ { 1 } ] \times [ a _ { 2 } ] \times [ b _ { 3 } ]
UN19_1016_em_224	CORRECT	x - x	x - x
UN19wb_1111_em_1049	WRONG	\int ^ { a b } = d a ^ { a b } + a ^ { a c } a ^ { c b }	f ^ { a b } = d a ^ { a b } + a ^ { a c } a ^ { c b }
UN19_1015_em_197	WRONG	\lim _ { b \rightarrow + \infty } h ( b ) = 0	\lim _ { b \rightarrow \pm \infty } h ( b ) = 0
UN19_1046_em_667	WRONG	\int d t _ { 2 } X _ { 7 } = \int t _ { 2 } x _ { 8 }	\int d A _ { 2 } X _ { 7 } = \int A _ { 2 } X _ { 8 }
UN19wb_1114_em_1089	CORRECT	x _ { 2 } = \sin \theta \sin \phi	x _ { 2 } = \sin \theta \sin \phi
UN19wb_1107_em_975	WRONG	( 1 6 5 5 , 1 4 , 4 7 , 7 , 3 9 8 )	( 1 . 6 5 5 , 1 4 . 4 4 7 , 3 . 3 9 8 )
UN19wb_1106_em_972	WRONG	\frac { 1 } { 2 } ( 3 \pm \sqrt { 9 - 4 m ^ { 2 } )	\frac { 1 } { 2 } ( 3 \pm \sqrt { 9 - 4 m ^ { 2 } } )
UN19wb_1102_em_910	WRONG	\int _ { 0 } ^ { \infty } \sin x	\int \limits _ { 0 } ^ { \infty } \sin { x }
UN19wb_1107_em_979	CORRECT	\sin ^ { 2 } \alpha + \cos ^ { 2 } \alpha = 1	\sin ^ { 2 } \alpha + \cos ^ { 2 } \alpha = 1
UN19_1017_em_228	CORRECT	\sum _ { x } \Delta _ { x y } = 0	\sum _ { x } \Delta _ { x y } = 0
UN19_1023_em_329	CORRECT	1 6 x ^ { 5 } - 2 0 x ^ { 3 } - 5 x	1 6 x ^ { 5 } - 2 0 x ^ { 3 } - 5 x
UN19_1022_em_304	CORRECT	\frac { 1 } { 8 } ( n + 2 ) ( n + 4 )	\frac { 1 } { 8 } ( n + 2 ) ( n + 4 )
UN19_1041_em_592	WRONG	\int _ { x } ^ { y } C _ { i }	\int _ { x } ^ { y } c _ { i }
UN19_1027_em_384	CORRECT	4 n = \frac { 2 n \times 2 n } { n }	4 n = \frac { 2 n \times 2 n } { n }
UN19_1022_em_308	WRONG	f x x + f y \neq 0	f _ { x x } + f _ { y y } \neq 0
UN19_1035_em_498	CORRECT	d ^ { 2 } x \sqrt { h ( x ) }	d ^ { 2 } x \sqrt { h ( x ) }
ISICal19_1207_em_843	CORRECT	( 9 - 4 - 2 ) \times 9	( 9 - 4 - 2 ) \times 9
ISICal19_1210_em_873	WRONG	3 ^ { 5 } + 3 c ^ { 4 } - 2 ^ { 4 } - 1 0 2 ^ { 3 } - 7 0 2 c ^ { 2 } + 7 1 k + 8 5	3 ^ { 7 } c ^ { 5 } + 3 ^ { 6 } c ^ { 4 } - 2 7 5 4 c ^ { 3 } - 7 0 2 c ^ { 2 } + 7 1 1 c + 8 5
UN19_1011_em_164	CORRECT	( 1 2 5 ) - ( 1 3 5 ) + ( 7 3 5 ) - ( 7 2 5 )	( 1 2 5 ) - ( 1 3 5 ) + ( 7 3 5 ) - ( 7 2 5 )
UN19wb_1108_em_999	WRONG	( 2 0 0 1 ) 4 3 7 3 - 4 3 3 9 4	( 2 0 0 1 ) 4 3 7 3 - 4 3 9 4
UN19_1007_em_100	CORRECT	a = b ^ { - 1 } c \sum _ { n = 0 } ^ { \infty } ( - 1 ) ^ { n }	a = b ^ { - 1 } c \sum _ { n = 0 } ^ { \infty } ( - 1 ) ^ { n }
UN19_1019_em_259	CORRECT	\int d ^ { d } x \sqrt { g }	\int d ^ { d } x \sqrt { g }
UN19_1035_em_503	WRONG	z = x + \sqrt { x ^ { 2 } - 2 }	z = x + \sqrt { x ^ { 2 } - 1 }
